#nulcide	MZUA	MZA
U-239	1.00E+02	1.00E+06
U-240	1.00E+03	1.00E+07
U-240	1.00E+01	1.00E+06
Np-237	1.00E+00	1.00E+03
Np-239	1.00E+02	1.00E+07
Np-240	1.00E+01	1.00E+06
Pu-234	1.00E+02	1.00E+07
Pu-235	1.00E+02	1.00E+07
Pu-236	1.00E+01	1.00E+04
Pu-237	1.00E+03	1.00E+07
Pu-238	1.00E+00	1.00E+04
Pu-239	1.00E+00	1.00E+04
Pu-240	1.00E+00	1.00E+03
Pu-241	1.00E+02	1.00E+05
Pu-242	1.00E+00	1.00E+04
Pu-243	1.00E+03	1.00E+07
Pu-244	1.00E+00	1.00E+04
Am-241	1.00E+00	1.00E+04
Am-242	1.00E+03	1.00E+06
Am-242m	1.00E+00	1.00E+04
Am-243	1.00E+00	1.00E+03
Cm-242	1.00E+02	1.00E+05
Cm-243	1.00E+00	1.00E+04
Cm-244	1.00E+01	1.00E+04
Cm-245	1.00E+00	1.00E+03
Cm-246	1.00E+00	1.00E+03
Cm-247	1.00E+00	1.00E+04
Cm-248	1.00E+00	1.00E+03
Bk-249	1.00E+03	1.00E+06
Cf-246	1.00E+03	1.00E+06
Cf-248	1.00E+01	1.00E+04
Cf-249	1.00E+00	1.00E+03
Cf-250	1.00E+01	1.00E+04
Cf-251	1.00E+00	1.00E+03
Cf-252	1.00E+01	1.00E+04
Cf-253	1.00E+02	1.00E+05
Cf-254	1.00E+00	1.00E+03
Es-253	1.00E+02	1.00E+05
Es-254	1.00E+01	1.00E+04
Es-254m	1.00E+02	1.00E+06
Fm-254	1.00E+04	1.00E+07
Fm-255	1.00E+03	1.00E+06
